videoId,title,channel,publishedAt,views,likes,comments,duration
LCW5dWnkWko,[#WSWF] 〈WORLD of K-POP〉미션 글로벌 대중 평가 영상 | BUMSUP(범접),The CHOOM (더 춤),2025-03-25T12:31:01Z,1992854,0,6992,PT2M50S
V-kus_CV32I,"이병헌 {짠한형} EP. 85 재탕인가 했지만, ㄷㄷㅗㅇ얘기 까지 간다! ⛔️찐친 주의⛔️",짠한형 신동엽,2025-03-24T09:00:06Z,2300807,34116,2567,PT59M56S
S2GYtJcfwrs,[#WSWF] 〈WORLD of K-POP〉 미션 글로벌 대중 평가 영상 | ROYAL FAMILY(로열 패밀리),The CHOOM (더 춤),2025-03-25T12:30:40Z,1221944,0,2862,PT2M42S
s7kX69v9qWk,[#WSWF] 〈WORLD of K-POP〉미션 글로벌 대중 평가 영상 | RHTokyo(알에이치도쿄),The CHOOM (더 춤),2025-03-25T12:30:57Z,1082187,0,3835,PT2M47S
-Vgr7LOU3U4,한때 행복지수 1위였던 나라 - 바누아투(上),곽튜브,2025-03-24T10:00:05Z,740871,15595,1251,PT30M50S
p3Mk3JKhWUc,역대 최초 4사 야구 해설위원 합방 with 김구라 #스톡킹,스톡킹,2025-03-25T09:01:03Z,174681,3675,713,PT27M32S
rbUbSbd0ZOg,"여에스더, 큰아들 장가 보낸 날 (시어머니, 홍혜걸, 함익병 축사, 찬송가)",여에스더의 에스더TV,2025-03-24T09:12:37Z,846680,7388,344,PT11M26S
bbELTEi1T24,4.5평을 지나 쓰리룸으로 이사간 여성,원지의하루,2025-03-24T07:25:06Z,689110,15962,1727,PT19M55S
R8hF8I7AjY4,"할머니가 단돈 5만원에 데려온 개, 알고보니 천재견이다! I KBS 반려동물극장 단짝 20150525 방송",KBS동물티비 : 애니멀포유 animal4u,2025-03-24T03:15:01Z,1277081,12662,663,PT19M44S
dvVpF89QQH4,[전참시] 이영자 집으로 초대한 황동주 때문에 도파민 폭발하는 전참시 멤버들 MBC250322방송,픽잇 :Pick it,2025-03-24T09:00:50Z,453338,6330,551,PT15M42S
LpRxnECP0x8,오로라 보러 온 덤앤더머 자매의 노르웨이 여행기 1탄.,걍밍경,2025-03-23T12:40:34Z,837718,12455,582,PT18M22S
fzv0B8IiiX0,'WHAT? DOOR!' EP.31 | 힐링데이는 핑계고 : 운수 좋은 찜찜 DAY 1편 - BOYNEXTDOOR (보이넥스트도어),BOYNEXTDOOR,2025-03-25T11:00:02Z,319144,25746,1624,PT32M41S
TJWsTCVJxnw,하나둘씩 전역하는 BTS 멤버들...... 홉아.. 계획이 ㄷㅏ 있는 거지 그렇지!?!???,요정재형,2025-03-23T08:00:26Z,957436,55583,4056,PT1H9M45S
H1ubeRsH-is,이승우가 바르셀로나를 떠날 수 밖에 없던 이유...ㅣ파추호의 유니폼 EP15,캡틴 파추호 Captain PaChuHO,2025-03-25T09:30:06Z,129992,2399,319,PT22M17S
jJYRDxesH0U,[5-6회 하이라이트] 💥사이다💥 본인 잘못 쏙(!) 빼놓고 정치질하다 '이제훈X오만석' 합작🔥에 제대로 물먹은 장현성 ㅋ | 협상의 기술 | JTBC 250323 방송,JTBC Drama,2025-03-24T01:12:19Z,315652,1796,112,PT29M49S
KJUb9d0pSHs,"95년생, 너 내 동료가 돼라!!! │ 95즈 EP.1 (sub)",덱스101,2025-03-24T10:00:19Z,371687,9649,1624,PT37M11S
hnCd1RyTaOA,KiiiKiii 키키 'BTG' MV,STARSHIP,2025-03-24T09:00:52Z,1652979,71142,5403,PT3M14S
vRljX1WTbUI,조째즈 (ZO ZAZZ) - 서쪽하늘 [불후의 명곡2 전설을 노래하다/Immortal Songs 2] | KBS 250322 방송,KBS 레전드 케이팝,2025-03-22T10:55:58Z,1390735,14797,2659,PT5M30S
5jPBJEIBqF0,한국음식을 생전 처음 먹어보는 세상 친절한 일본가족 - 일본 (2),노마드션 No mad Shaun,2025-03-24T12:17:05Z,269353,7480,619,PT24M16S
PkXXgn2tDG8,몬스터헌터 와일즈 쇼케이스 | 2025.3.25,캡콤아시아,2025-03-25T13:50:08Z,119570,1727,673,PT13M13S
WPRJs-_dE64,[EN-loG] ‘현실 남매’ 여동생과 성훈의 하루 - ENHYPEN (엔하이픈),ENHYPEN,2025-03-25T10:00:08Z,473910,72337,3487,PT22M56S
HfN_7vId5zI,결혼은 안 할 여자친구,짧은대본 ShortPaper,2025-03-22T10:49:32Z,1021570,8319,747,PT8M50S
XWyNbEwFwIg,[광재언니] 무한리필 짜장면과 미친 고기 양의 뼈해장국! 역대급 가성비 식당 찾았다!,광재언니,2025-03-24T12:00:49Z,282561,6371,410,PT15M43S
ZqeGcVWPPy4,서울대 학식 브이로그!,정현규,2025-03-24T09:30:13Z,437569,7321,655,PT21M1S
XUH2S4Z1iiQ,awkward morning (not a pro yet..),mark,2025-03-24T16:01:18Z,249618,54841,4797,PT27S
Dv_bEUB17CI,22년만에 알게된 아빠의 비밀,쓰까르,2025-03-25T12:27:21Z,132127,2865,172,PT8M17S
hRXkXbnpZUk,특별한날 특별한사람과 생일도에서 살아남기,야만스러운,2025-03-24T11:22:42Z,202230,4693,1713,PT33M33S
C52Mm5ZCj7U,[미니 팔레트] 동갑 케미 달아요 '검'나 달아요🍊(With 박보검) Ep.1,이지금 [IU Official],2025-03-22T08:00:08Z,1194871,46210,2609,PT48M3S
YYwmdj5b0bU,[ENG CC] 언니 폭격기💥 엔믹스 지우🐶 언니들 심장 부여잡고 오세요💎✨ NMIXX JIWOO  l 이사배(RISABAE Makeup),RISABAE,2025-03-24T10:05:50Z,198598,13219,997,PT14M7S
eyoO_0tMPSM,쿨룩 LIVE ▷ 윙(WING) 'Dopamine' 라이브 / [박명수의 라디오쇼] / KBS 250324 방송,KBS CoolFM,2025-03-24T14:37:38Z,252923,6535,821,PT2M49S
GqImaMrZDb8,고급스러운 사람과 장소의 특징 | 인생을 바꿀 수도 있는 이야기,밀라논나 Milanonna,2025-03-24T11:00:22Z,121595,5486,266,PT10M57S
kk1g64DnrFo,[전참시] 영자 누나에게 해주고 싶어 갈비찜 레시피 전수받는 황동주 MBC250322방송,픽잇 :Pick it,2025-03-24T07:00:30Z,305104,4351,392,PT15M32S
VtB-6sv_C7w,어그로 아니고 진짜 갑니다,김재원의 즐거운 세상,2025-03-23T05:44:02Z,732343,19247,4674,PT8M11S
diDuJIsaANM,둘째 임신했습니다!!!🎉 (연년생 확정😭),[Nareum_TV] 나름TV,2025-03-24T09:00:47Z,116662,2409,664,PT11M45S
wAvSeyiTKok,[하이라이트] 케미가 팡팡! 제철 웃음 가득한 언니네의 두 번째 계절💙 (얼음!) 이정재의 등장까지?!❄️🧊 #언니네산지직송2 EP.0,tvN Joy,2025-03-24T01:00:48Z,420066,3677,399,PT17M28S
I8jIvcf1TvU,볼링 프로와의 쓸데 없는(?) 볼링 부심 대결 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,진국이네,2025-03-24T10:15:01Z,70195,831,115,PT11M18S
4dMYBekPRiU,"평사원에서 재벌까지! 그리고 사라진 남자, 뉴코아그룹 이야기 / 소비더머니",소비더머니,2025-03-23T07:00:06Z,253034,2782,208,PT13M30S
A4-TWmdkHx4,"새벽 5시 루틴 | 남편도시락, 5가지 아침 요리 전복죽, 밑반찬 만들기 | 가락시장 해산물 야식 | Cook with me",꿀주부 Honeyjubu,2025-03-24T08:00:06Z,268545,7420,462,PT24M6S
nsDuzXXZbvs,[월간데이트 리액션/3월호] 마라탕 5단계 먹방(진짜 리액션함),준빵조교,2025-03-22T14:06:32Z,686508,15308,1247,PT12M18S
OL4VKKc1c5g,넓은집 이사해 놓고 안방만 쓰는 강민석 집에서 몰래 72시간 동안 기생하기 ㅋㅋㅋㅋㅋㅋㅋ,보물섬,2025-03-22T10:06:50Z,1175712,17810,1432,PT23M46S
DLmWGGhQjyw,캠핑카에서 이삿짐 빼는 날 / 울산 언양 [캠핑카생활77],뚝지,2025-03-24T10:00:14Z,106541,6786,1162,PT18M27S
hokrG5p7cEY,Hebi - 늘 (EVER) Official MV Teaser,Hebi.,2025-03-24T08:00:06Z,90760,7289,3065,PT29S
