"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop",Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
1,USA,111820082,,1219487,,109814428,,786167,940,333985,3642,1186851502,3544901,334805269,North America,3,275,0,,,2348
2,India,45035393,,533570,,N/A,N/A,N/A,N/A,32016,379,935879495,665334,1406631776,Asia,31,2636,2,,,0.4
3,France,40138560,,167642,,39970918,,0,,612013,2556,271490188,4139547,65584518,Europe,2,391,0,,,
4,Germany,38828995,,183027,,38240600,,405368,N/A,462891,2182,122332384,1458359,83883596,Europe,2,458,1,,,4833
5,Brazil,38743918,,711380,,36249161,,1783377,N/A,179908,3303,63776166,296146,215353593,South America,6,303,3,,,8281
6,S. Korea,34571873,,35934,,34535939,,0,,673523,700,15804065,307892,51329899,Asia,1,1428,3,,,
7,Japan,33803572,,74694,,N/A,N/A,N/A,N/A,269169,595,100414883,799578,125584838,Asia,4,1681,1,,,95582
8,Italy,26723249,,196487,,26361218,,165544,22,443445,3261,281126449,4665010,60262770,Europe,2,307,0,,,2747
9,UK,24910387,,232112,,24678275,,0,N/A,363666,3389,522526476,7628357,68497907,Europe,3,295,0,,,
10,Russia,24124215,,402756,,23545818,,175641,N/A,165454,2762,273400000,1875095,145805947,Europe,6,362,1,,,1205
11,Turkey,17232066,,102174,,N/A,N/A,N/A,N/A,201399,1194,162743369,1902052,85561976,Asia,5,837,1,,,4024
12,Spain,13914811,,121760,,13762417,,30634,231,297840,2606,471036328,10082298,46719142,Europe,3,384,0,,,656
13,Australia,11853144,,24414,,11820014,,8716,3,454687,937,81916639,3142326,26068792,Australia/Oceania,2,1068,0,,,334
14,Vietnam,11625195,,43206,,10640971,,941018,,117481,437,85826548,867342,98953541,Asia,9,2290,1,,,9510
15,Taiwan,10241523,,19005,,10222518,,0,,428720,796,30742304,1286903,23888595,Asia,2,1257,1,,,
16,Argentina,10128845,,130841,,9997258,,746,,220143,2844,35716069,776264,46010234,South America,5,352,1,,,16
17,Netherlands,8635786,,22992,,8612599,,195,N/A,501747,1336,25984435,1509718,17211447,Europe,2,749,1,,,11
18,Mexico,7702809,,334958,,6899865,,467986,N/A,58549,2546,20013810,152124,131562772,North America,17,393,7,,,3557
19,Iran,7627186,,146811,,N/A,N/A,N/A,,88665,1707,57320267,666338,86022837,Asia,11,586,2,,,1199
